,Standard Name,Summary
131,"Cossette, Inc.","Cossette is a Canadian marketing communications company headquartered in Quebec City, Quebec."
132,Coteau Books,"Coteau Books was a small, non-profit literary press based in Regina, Saskatchewan, Canada. It was established in 1975 by Bob Currie, Gary Hyland, Barbara Sapergia and Geoffrey Ursell when they realized that there was little opportunity for Saskatchewan writers to get published, especially first-time authors. The press closed its doors and entered bankruptcy protection in February 2020.Coteau Books grew considerably since its 1975 founding, publishing 16 books a year, from authors across Canada, and adding a substantial and high-profile ""young readers"" element to its list. Coteau distributed its books to Canada, the US, Australia and New Zealand, and around the world on the internet. It also had rights representation for its titles in most parts of the world. It published authors from all over Canada, and was short listed for or won many literary awards in the country, including the prestigious Governor General's Literary Awards (which Coteau's Gloria Sawai won in 2001 for her short story collection A Song for Nettie Johnson). Coteau had books named GG finalists seven times, in four different genres, which is a rare accomplishment for a press of its size.
Writers published by the firm included Mark Abley, Linda Aksomitis, Sharon Butala, Warren Cariou, Archie Crail, Deborah Ellis, Connie Gault, Wendy Phillips, Armand Garnet Ruffo, Linda Smith, Anne Szumigalski, and Duncan Thornton."
133,Primo Water,"Primo Water Corporation (formerly Cott Corporation) is an American-Canadian water company offering multi-gallon bottled water, water dispensers, self-service refill water machines, and water filtration appliances. The company is headquartered in Tampa, Florida, and services residential and commercial customers across the United States, Canada, Europe, and Israel."
134,Country Style,"Country Style Food Services, Inc., formerly Country Style Donuts, is a fast/casual chain of coffee shops operating primarily in the Canadian province of Ontario (where it ranks second among coffee chains), which serves oatmeal, soup, sandwiches, salads, and coffee. The chain is based in Richmond Hill, Ontario.

"
135,Creation Technologies,"Creation Technologies LP is a global electronics manufacturing services (EMS) provider headquartered in Boston, Massachusetts, USA. 
Creation provides full service electronics solutions to a group of original equipment manufacturers (OEMs) across North America and Asia, and has 14 manufacturing operations in Canada, the USA, China and Mexico.
Creation is a privately held company with employee ownership.
In 2008, Creation was #5 in Top-100 BC Technology companies, In 2010, the company was #25 in CIRCUITS ASSEMBLY's Top 50 and #9 in North America. #64 in Top-100 BC companies, and #492 in Top 500 Canadian companies."
136,Crestline Coach,"Crestline Coach Ltd. is an ambulance manufacturer located in Saskatoon, Saskatchewan, Canada, with offices in Alberta, Manitoba, Ontario, Quebec, and California. The company manufactures ambulances and specialty vehicles, and also distributes buses.  The company has manufactured vehicles that have been sold into every province in Canada, the Canadian Department of National Defense as well as exported to Belgium, Brazil, Brunei, Chile, China, Colombia, Cuba, Ireland, Italy, Jordan, Korea, Kyrgyzstan, Malta, Mexico, Netherlands, Paraguay, Siberia, St Lucia, Sudan, Switzerland, United States and Vietnam."
137,Expedia Cruises,"Expedia Cruises is a travel agency franchise company established in 1987, specializing in marketing and sales of air, land & cruise vacations. Through its network of 300 independently owned retail locations and 7,000+ Vacation Consultants in North America, the company has year over year grown in sales for the past two decades.
In 2007, Expedia Inc. had bought a ""significant but non-controlling"" interest in Vancouver-based cruise vacation specialists CruiseShipCenters International.  As of March 2013, Expedia Inc owns 100% of the company.
In 2020, the Expedia CruiseShipCenters rebranded to Expedia Cruises with the tag line Air, Land & Sea Vacations.

"
138,CSA Group,"The CSA Group (formerly the Canadian Standards Association; CSA) is a standards organization which develops standards in 57 areas. CSA publishes standards in print and electronic form, and provides training and advisory services. CSA is composed of representatives from industry, government, and consumer groups.
CSA began as the Canadian Engineering Standards Association (CESA) in 1919, federally chartered to create standards. During World War I, lack of interoperability between technical resources led to the formation of a standards committee.
CSA is accredited by the Standards Council of Canada, a crown corporation which promotes voluntary standardization in Canada. This accreditation verifies that CSA is competent to carry out standards development and certification functions, and is based on internationally recognised criteria and procedures.The CSA registered mark shows that a product has been independently tested and certified to meet recognized standards for safety or performance."
139,CTBC Bank,"CTBC Bank (Chinese: 中國信託商業銀行; pinyin: Zhōngguó Xìntuō Shāngyè Yínháng) is amongst the largest privately owned banks in Taiwan.

"
140,CTV Television Network,"The CTV Television Network (commonly known as CTV) is a Canadian English-language terrestrial television network. Launched in 1961 and acquired by BCE Inc. in 2000, CTV is Canada's largest privately owned television network and is now a division of the Bell Media subsidiary of BCE."
141,Cymax Group,"Cymax Group Technologies Ltd. is a privately held eCommerce company headquartered in Burnaby, British Columbia, Canada. The Cymax Group of brands includes two retail websites, Cymax Business and Home Square, which sell furniture and decor; plus Freight Club and Channel Gate, which are eCommerce logistics and technology enablement platforms.

"
142,Cyntech,"Cyntech Group provides high-capacity helical pile, helical rigid inclusion and pipeline anchor engineering and manufacturing services for industrial markets.

"
143,Dairyland Canada,"Dairyland is a dairy business that operates in Port Coquitlam, British Columbia. Now owned by Saputo Dairy Foods Canada, Dairyland was originally an operating arm of BC dairy farmers' cooperatives and was legally named Agrifoods International Cooperative Ltd. at the time of the sale of the majority of its assets to Saputo Incorporated. Its products are sold across Canada.
Dairyworld Foods, a Canadian-based dairy cooperative, was purchased by Saputo Inc. in 2001. Dairyworld Foods (previously known as Agrifoods International Cooperative Ltd.), produces milk and a range of dairy and other food products which are sold across Canada at large retailers. Dairyworld was created in 1992 as a result of a merger of Dairyland in BC and Alpha and Nu-Maid in Alberta. In November 2009, Dairyland products were replaced in Ontario by Neilson after Saputo's acquisition of the William Neilson brand from George Weston Limited.

"
144,Daiya,"Daiya Foods Inc. is a Canada-based dairy-alternative food company located in Burnaby, British Columbia. The company was established in 2008 by Andre Kroecher and Greg Blake. Daiya's original (and likely its best known) products are cheese analogues made from coconut oil and tapioca flour that are known for their cheese-like consistency and melting properties. They contain no animal products or soy, lactose, wheat, barley, gluten or nuts.Daiya is sold in natural and conventional food stores within Canada and the United States. Daiya products are also available in the UK, Australia, Mexico, Hong Kong and more, and are featured on restaurant menus and in packaged food products made by Amy's Kitchen and Turtle Island Foods. Daiya has won many awards for its products, including the 2009 Veggie Award for Product of the Year. In 2011, BC Business magazine named Daiya one of the 20 most innovative companies in British Columbia.In July 2017, Otsuka Pharmaceutical agreed to acquire 100 percent of Daiya Foods for $405 million.

"
145,Dare Foods,"Dare Foods, Limited is a Canada-based food manufacturing company. They have seven factories in Canada and the United States. Their products are distributed in North America and at least 25 other countries."
146,Dart Flipcards,"Dart Flipcards Inc. is or was a Canadian company that markets a line of novelty Mini Lunch Boxes, with licensed images on them. Based out of St. Laurent, Quebec, Dart's lunch boxes are filled with chewing gum, made in Canada, inside Chinese made tins, and are packaged in Canada."
147,Delta Hotels,"Delta Hotels by Marriott is a four-star brand of hotels and resorts located primarily in North America.

"
148,Descartes Systems Group,"The Descartes Systems Group Inc. (commonly referred to as Descartes) is a Canadian multinational technology company specializing in logistics software, supply chain management software, and cloud-based services for logistics businesses.
Descartes is perhaps best known for its abrupt and unexpected turnaround in the mid-2000s after coming close to bankruptcy in the wake of the dot-com bubble collapse. It is also known as one of the earliest logistics technology companies to adopt an on-demand business model and sell its software as a service (SaaS) via the Internet. The company operates the Global Logistics Network, an extensive electronic messaging system used by freight companies, manufacturers, distributors, retailers, customs brokers, government agencies, and other interested parties to exchange logistics and customs information.
Headquartered in Waterloo, Ontario, Canada, Descartes is a publicly traded company with shares listed on the NASDAQ Stock Market (NASDAQ: DSGX) and Toronto Stock Exchange (TSX: DSG). It has offices in the Americas, Europe, the Middle East, Africa, and the Asia Pacific region."
149,Desjardins Group,"The Desjardins Group (French: Mouvement Desjardins) is a Canadian financial services cooperative and the largest federation of credit unions (French: caisses populaires) in North America. It was founded in 1900 in Lévis, Quebec by Alphonse Desjardins. While its legal headquarters remains in Lévis, most of the executive management, including the CEO, is based in Montreal.As of 2017, Desjardins Group consists of 293 local credit unions operating 1,032 points of service and serving more than seven million members and clients, mostly in the provinces of Quebec and Ontario.In addition to retail banking, the Group has over twenty subsidiaries offering products and services related to insurance (Desjardins Financial Security, Desjardins General Insurance), real estate (Complexe Desjardins), venture capital funds (Desjardins Venture Capital), and brokerage (Desjardins Securities). The Desjardins Group, through subsidiary Développement international Desjardins, is also active in over 30 developing countries through technical assistance programs and various investments. In October 2020, Desjardins launched a social impact fund, Aequitas, which could grow to 115 millions dollars and help women and youth in developing countries."
150,WildBrain,"WildBrain Ltd. (formerly DHX Media, Ltd.) is a Canadian media, production, and brand licensing company, mostly associated as an entertainment company. The company is known for owning the largest library of children's television programming, which is distributed through its multi-channel network, WildBrain Spark, and a group of Canadian specialty television channels.
DHX was founded in 2006 when the entertainment entrepreneurs Michael Donovan and Steven DeNure gained control of Decode Entertainment and the Halifax Film Company.

"
151,Digital Extremes,"Digital Extremes is a Canadian video game developer founded in 1993 by James Schmalz. They are best known for creating Warframe, a free-to-play cooperative online action game, and co-creating Epic Games' Unreal series of games. Digital Extremes is headquartered in London, Ontario. In 2014, 61% of the company was sold to Chinese holding company Multi Dynamic, now Leyou, for $73 million.  President James Schmalz and two partners retained 39% of Digital Extremes, and will continue to manage it. On May 22, 2016 Leyou exercised a call option and now owns 97% of Digital Extremes for a total consideration of $138.2 million US.

"
152,Digitcom,"Digitcom Canada Inc. is a Canadian business phone systems and data networks distributor. Primarily serving the greater Toronto, Montreal, and Southern Ontario small and midsize enterprise (SME) markets, Digitcom provides sales and support for telecommunications systems. Digitcom also runs blog, which provides news, insight, and analysis of current events in both the North American and worldwide telecommunications markets.

"
153,Top Aces,"Top Aces Inc. is a Montreal, Quebec-based defence contractor that offers contracted airborne training services to the Canadian Armed Forces through the Contracted Airborne Training Services (CATS) program. Top Aces operates a fleet of modernized fighter aircraft to provide Red Air threat replication, Joint Terminal Attack Controller (JTAC) training, practice munitions drop, air-to-air gunnery training and naval target tow profiles for the Canadian and German militaries. It also provides electronic warfare training and tactics development, and supports advanced radar trials in nationally controlled environments. All Electronic Warfare Officers and EW role equipment are provided by the 414 Electronic Warfare Squadron, Royal Canadian Air Force (RCAF) as part of the CATS contract.Canadian Armed Forces personnel are authorized to fly on board Top Aces fighter aircraft.

"
154,Discovery Air,"Discovery Air (DA), founded in 2004, was a specialized aviation company that operated primarily in Canada."
155,Dofasco,"ArcelorMittal Dofasco is a steel company based in Hamilton, Ontario, Canada. Dofasco is a standalone subsidiary of ArcelorMittal, the world's largest integrated steel producer."
156,Dollarama,"Dollarama is a Canadian dollar store retail chain headquartered in Montreal. Since 2009 it is Canada's largest retailer of items for four dollars or less. Dollarama has over 1400 stores and has a presence in every province of Canada; Ontario has the most stores.

"
157,Dominion Voting Systems,"Dominion Voting Systems Corporation is a company that sells electronic voting hardware and software, including voting machines and tabulators, in the United States and Canada. The company's headquarters are in Toronto, Ontario, and Denver, Colorado. It develops software in offices in the United States, Canada, and Serbia.Dominion produces electronic voting machines, which allow voters to cast their vote electronically, as well as optical scanning devices to tabulate paper ballots. Dominion voting machines have been used in countries around the world, primarily in Canada and the United States. Dominion systems are employed in Canada's major party leadership elections, and they are also employed across the nation in local and municipal elections. Dominion products have been increasingly used in the United States in recent years. In the 2020 United States presidential election, equipment manufactured by Dominion was used to process votes in twenty-eight states, including the swing states of Wisconsin and Georgia.The company was subjected to extensive attention following the election, at which then-president Donald Trump was defeated by Joe Biden, with Trump and various surrogates promoting conspiracy theories, alleging that Dominion was part of an international cabal to steal the election from Trump, and that it used its voting machines to transfer millions of votes from Trump to Biden. There is no evidence supporting these claims, which have been debunked by various groups including election technology experts, government and voting industry officials, and the Cybersecurity and Infrastructure Security Agency (CISA). These conspiracy theories were further discredited by hand recounts of the ballots cast in the 2020 presidential elections in Georgia and Wisconsin; the hand recounts in these states found that Dominion voting machines had accurately tabulated votes, that any error in the initial tabulation was human error, and that Biden had defeated Trump in both battleground states.In December 2020 and January 2021, Fox News, Fox Business, Newsmax, and the American Thinker rescinded allegations they had reported about Dominion and Smartmatic after one or both companies threatened legal action for defamation. In January 2021, Dominion filed defamation lawsuits against former Trump campaign lawyers Sidney Powell and Rudy Giuliani, seeking $1.3 billion in damages from each. After Dominion filed the lawsuit against Powell, One America News Network (OANN) removed all references to Dominion and Smartmatic from its website without issuing public retractions. During ensuing months, Dominion filed suits seeking $1.6 billion from each of Fox News, Newsmax, OANN and former Overstock.com CEO Patrick Byrne, while also suing Mike Lindell and MyPillow. Despite motions by the defendants to dismiss the lawsuits, judges said the cases against Fox News, Lindell, and MyPillow could proceed."
158,Domtar,"Domtar Corporation is a Canadian company that manufactures and markets wood fiber-based paper and pulp product. The company operates pulp and paper mills in Windsor, Quebec, Dryden, Ontario, Kamloops, British Columbia, Ashdown, Arkansas, Hawesville, Kentucky, Plymouth, North Carolina, and Marlboro County, South Carolina. While the company operated independently for several decades with listing on the Toronto and New York stock exchanges, the company was acquired by Paper Excellence in November 2021 and has since operated as a subsidiary. 
Specifically, the firm designs, manufactures, markets and distributes a wide range of business, commercial printing, publication as well as technical and specialty papers with recognized brands such as Cougar, Lynx Opaque Ultra, Husky Opaque Offset, First Choice, Sandpiper (premium 100% recycled unbleached), and Domtar EarthChoice Office Paper, part of a family of environmentally and socially responsible papers.
Domtar owns and operates Domtar Distribution Group, an extensive network of paper distribution facilities. The company overall employs nearly 6,400 people. Its head offices are in Montreal and Fort Mill, South Carolina.

"
159,Sphinx Resources,"Sphinx Resources Ltd. (formerly Donner Metals Ltd.) is a Canadian company focused on exploration of precious and base metals within mining rights in Quebec. It is listed on the TSX Venture Exchange. The company was formerly named Donner Metals Ltd., headquarters are in Vancouver, and active in other provinces, but changed names in 2014 and moved its headquarters to Montreal, Quebec. As Donner, its principal project was a 35-65 joint venture with Glencore Xstrata (the operator and 65% interest holder) in Matagami, Quebec."
160,DreamCatcher Interactive,"DreamCatcher Interactive Inc. (also known as DreamCatcher Games) was a Canadian video game publisher founded in 1996 by Richard Wah Kan. In 2006, the company became a subsidiary of JoWooD Entertainment. In 2011, the company went into administration along with its parent JoWooD and all assets were purchased by Nordic Games Holding. The DreamCatcher Interactive brand is currently being used as a publishing label for THQ Nordic."
161,D-Wave Systems,"D-Wave Systems Inc. is a Canadian quantum computing company, based in Burnaby, British Columbia, Canada. D-Wave was the world's first company to sell computers to exploit quantum effects in their operation.  D-Wave's early customers include Lockheed Martin, University of Southern California, Google/NASA and Los Alamos National Lab.
In 2015, D-Wave's 2X Quantum Computer with more than 1,000 qubits was installed at the Quantum Artificial Intelligence Lab at NASA Ames Research Center. They have subsequently shipped systems with 2,048 qubits. In 2019, D-Wave announced a 5000 qubit system available mid-2020, using their new Pegasus chip with 15 connections per qubit. D-Wave does not implement a generic quantum computer; instead, their computers implement specialized quantum annealing."
162,Dynamotive Energy Systems,"Dynamotive Energy Systems Corporation is a Canadian based Renewable Energy Company which specializes in fast pyrolysis, a process which creates a product named BioOil.  Its only other residue is char.

"
163,Dynamsoft,"Dynamsoft Corp. is a multinational software development company with its headquarter in Vancouver, Canada. It provides software development kit (SDK) solutions for document capture and barcode applications for various usage scenarios. These SDKs help developers meet document imaging, scanning and barcode reader application requirements when developing web, desktop, or mobile document management applications.
Dynamsoft has a global presence with customers in North America, Asia, and Europe, with all sorts of organizations including local governments, non-profit organizations, and businesses of small and large sizes.
Amy Gu is the CEO of Dynamsoft. Amy was an Associate Professor at AI Institute at Zhejiang University, a visiting scholar at UBC, and an exchange professor at SFU. She co-founded Dynamsoft in 2003.

"
164,DynaVenture,"DynaVenture Corp. was formed in 2000 by second generation family members Brian and Earl Eidem and Jo-Ann Thompson. Founding father Harold Eidem started the 60 year dynasty in 1948 in his Vancouver home with his first business Bearing and Transmission Supply (B&T). In 1973 Harold Eidem set up B&T Holdings Ltd to provide centralized services and act as the parent company to all of their business’ locations. In 1976, Harold Eidem died and the ownership of the company was transferred to his sons Brian and Earl Eidem and daughter Jo-Ann Thompson. In 1981, B&T Holdings changed its name to DynaVest Corp. to better indicate the new direction of the companies. In 2000, the Eidem family sold three major components of their holdings to Applied Industrial Technologies. 
 That same year the company would again change names, DynaVest became DynaVenture and the Eidem family have since increased their holdings in technology and engineering companies.

"
165,EA Black Box,"EA Black Box (formerly Black Box Games) was a video game developer based in Burnaby, British Columbia, Canada, founded in 1998 by former employees of Radical Entertainment and later acquired by Electronic Arts (EA). The developers are primarily known for the Need for Speed and Skate series. It was renamed Quicklime Games during the development of Need for Speed: World, but after a series of restructures it was shut down in April 2013.

"
166,EA Vancouver,"EA Vancouver (formerly known as EA Burnaby, then EA Canada) is a Canadian video game developer located in Burnaby, British Columbia. The development studio opened as Distinctive Software in January 1983, and is also Electronic Arts's largest and oldest studio. EA Vancouver employs approximately 1,300 people, and houses the world's largest video game test operation."
167,Ebco Industries,"Ebco Industries is a custom-manufacturing company based in Richmond, British Columbia. Ebco was founded by Helmut and Hugo Eppich in 1956 as a small Tool and Die shop, and it has subsequently expanded into a 300,000 sq. ft. manufacturing facility for domestic and international markets  providing:
heavy machining,
heavy fabrication,
light precision machining & fabrication
precision sheet metal,
repair & refurbishing,
assembly & testing,
quality assurance & accreditations,
shipping capabilities,
hospital linen carts,
lightweight lids.These markets include clean and traditional energy (hydro power generation and oil & gas) mining, pulp & paper, aerospace, military & defense, marine, and nuclear medicine.
Ebco has one of the largest fabricating and machining facilities in western North America as well as some of the largest capacity machinery. The company has several divisions that contract manufactures heavy to light machined, fabricated and assembled equipment.
Advanced Cyclotron Systems is a subsidiary of Ebco."
168,Elastic Path,"Elastic Path is a headless commerce system, allowing template-less eCommerce to be integrated as middleware into Enterprise ERP systems. The system is API based and is specifically targeted towards Enterprise level Organisations. Elastic Path is a private company based in Vancouver, British Columbia, Canada with sales offices in the UK and US.
Gartner's Magic Quadrant for Digital Commerce 2020 named Elastic Path as a Visionary in e-commerce applications. The evaluation was based on Elastic Path's completeness of vision and ability to execute.

"
169,Electrohome,"Founded in 1907, Electrohome was Canada's largest manufacturer of television sets (TVs) from 1949 to 1984. The company was also involved in television broadcasting, and was a leader in data, video, graphics displays and projectors.
From 1984 to 1999, Electrohome-branded TVs were produced under licence by Mitsubishi Electric, and from 1999 to 2007 by Jutan (distributed by Canadian distributor Citizen Electronics).
The company underwent an orderly wind-up in late 2008. In February 2010, the Electrohome brand was acquired by Bluetronics Group a division of Circus World Displays Limited (CWD)."
170,EllisDon,"EllisDon is an employee-owned construction services company that was founded and incorporated in 1951 in London, Ontario, Canada, by brothers Don and David Ellis Smith. The company is headquartered in Mississauga, Ontario, Canada.

"
171,Emera,"Emera Incorporated is a publicly traded Canadian multinational energy holding company based in Halifax, Nova Scotia. Created in 1998 during the privatization of Nova Scotia Power, a provincial Crown corporation, Emera now invests in regulated electricity generation as well as transmission and distribution across North America and the Caribbean."
172,Enbridge,"Enbridge Inc. is a multinational pipeline company headquartered in Calgary, Alberta, Canada. Over time, it has continued to grow through the acquisition of other existing pipeline companies and the expansion of their projects. It owns and operates pipelines throughout Canada and the United States, transporting crude oil, natural gas, and natural gas liquids. Enbridge's expansive pipeline system is the longest in North America. Its crude oil system consists of 27,500 kilometres (17,100 miles) of pipelines in Canada and the United States. Its 38,300 kilometre (23,800 mile) natural gas pipeline system connects across multiple Canadian provinces, throughout several US states, and offshore in the Gulf of Mexico.Enbridge's pipelines transport 20% of the natural gas consumed in the United States. It owns and operates Canada's largest natural gas distribution network, providing distribution services in Ontario and Quebec. Union Gas in Ontario now fully operates under Enbridge Gas Inc. In Quebec, Enbridge has interest ownership in Gazfière.Despite its main business being fossil fuels, Enbridge has proposed a net zero greenhouse gas emissions by 2050, with an interim target to reduce emissions intensity by 35% by 2030. It has built several renewable energy projects within North America and Europe in recent years, including wind and solar assets, waste heat recovery facilities, a geothermal project, a power transmission project, and a hydroelectric facility. Enbridge has two Technology + Innovation labs, one in Calgary, Alberta, and the other in Houston, Texas.Throughout its operations, Enbridge has experienced spills and protests against the expansion of its pipelines. Most recently, its Line 3 Replacement Project came under scrutiny in Minnesota, and Line 5 has attracted attention in Michigan."
173,Ovintiv,"Ovintiv Inc., formerly Encana Corporation, is a hydrocarbon exploration and production company organized in Delaware and headquartered in Denver, United States. It was founded and headquartered in Calgary, Alberta, and was the largest energy company and largest natural gas producer in Canada. The company was rebranded as Ovintiv and relocated to Denver in 2019–20."
174,Engineered Lifting Systems & Equipment,"Engineered Lifting Systems & Equipment Inc (ELS) is a Canadian manufacturing company specializing in standard and custom overhead material lifting systems and equipment. ELS was founded in by Jim Muir in Waterloo, Ontario and its headquarters is currently located in Elmira, Ontario."
175,Enwave,"Enwave Energy Corporation is a Canadian energy company headquartered in Toronto that provides sustainable district energy solutions including heating, cooling, hot water, combined heat and power, geoexchange, energy storage, sewer heat, waste-to-energy, biomass, solar energy systems. It is one of the largest district energy systems in North America and has been referred as the leading energy district system providing its services for over three decades across Canadian cities including Toronto, London, Charlottetown, Windsor, and Markham. With the help of proven, sustainable technologies, Enwave Energy Corporation has built its reputation on solving the cooling, heating and energy needs of over 700 customers including commercial properties, single- and multi-family homes, hospitals, data centers, educational centers, and mixed use developments.Being a fully integrated district energy services provider, the company’s interconnected systems within each city generates, stores, and shares different forms of energy, delivering the benefits of scale, reliability, and sustainability to communities."
176,Esprida,"Esprida is a privately held company that creates and markets remote device management middleware built on a service-oriented architecture (SOA) platform.
Esprida software enables communication between devices and users via the Internet. From a single computer, a user is able to send and receive messages from multiple self-service kiosks or standalone intelligent devices.The largest non-ATM deployments in the world are Powered by Esprida. Customers include Kodak Alaris, Aisle7, Michigan Department of State, and BehrColorSmart.Other organizations that provide similar software products include Axeda Corp. and Questra.

"
177,F&P Manufacturing Inc.,"F&P Manufacturing Inc. abbreviated F&P Mfg Inc. is a Japanese automotive parts supplier based in North America. They make components such as subframes, trailing arms, Lower Arm and Pedals for Honda, Toyota and General Motors vehicles. F&P Mfg inc. operates plants in Tottenham, Ontario, Canada and Stratford, Ontario, Canada. Its parent company F-Tech was founded in 1947 and is located in Saitama Prefecture, Japan."
178,Fairchild Group,"The Fairchild Group (Traditional Chinese: 新時代集團, Simplified Chinese: 新时代集团, Pinyin: xīnshídài jítuán, Jyutping: san1si4doi6 zaap6tyun4) is a Canadian business conglomerate, with headquarters in Vancouver, British Columbia, Canada. Fairchild Group operates various media properties under the Fairchild Media Group name. Fairchild currently operates the Cantonese channel Fairchild TV, Cantonese & Mandarin radio network Fairchild Radio, and Mandarin channel Talentvision. Fairchild Group is also involved in film production, real estate development, retail, telecommunications and wholesale trade.

"
179,Fairchild TV,"Fairchild TV or FTV is a Canadian Cantonese language exempt specialty channel. It is owned by Fairchild Group, with Hong Kong broadcaster TVB holding a 20% minority stake. Fairchild TV has studios in the Greater Toronto Area (Richmond Hill, Ontario) and Greater Vancouver (inside Aberdeen Centre in Richmond, British Columbia).
The channel's origins can be traced to the Cantonese broadcasting service, Chinavision Canada was rebranded as Fairchild TV in 1993 when Thomas Fung purchased Chinavision."
180,Fairfax Financial,"Fairfax Financial Holdings Limited is a financial holding company based in Toronto, Ontario, which is engaged in property, casualty, insurance and reinsurance, investment management, and insurance claims management. The company operates primarily through several subsidiaries, including Allied World, Odyssey Re, Northbridge Financial, Crum & Forster, Verassure Insurance, Onlia Agency Inc., and Zenith Insurance Company. The company was also the largest shareholder of Torstar with 40% of the Class B shares, as of May 2020. 
Fairfax is led by chairman and CEO Prem Watsa, who controls nearly half of the firm.

"
181,Fairmont Hotels and Resorts,"Fairmont Hotels & Resorts is a global chain of luxury hotels that operates more than 70 properties worldwide, with a strong presence in Canada.The company originated from two hotel businesses established in the late 19th century, the Canadian Pacific Limited owned Canadian Pacific Hotels & Resorts, and Fairmont Hotels. In 1999, Canadian Pacific Hotels acquired a majority interest in Fairmont Hotels; with Canadian Pacific Hotels later renaming its entire hotel portfolio under the Fairmont Hotels & Resorts banner in 2001. Shortly after the hotel division was renamed, Canadian Pacific Limited was split into several smaller companies in a starburst move, with Fairmont becoming a separately-traded company.
In 2006, Fairmont was acquired by Colony Capital, who subsequently entered into a joint partnership with the Kingdom Holding Company; consolidating Fairmont with their other hotel brands, Raffles and Swissôtel to form Fairmont Raffles Hotels International (FRHI). Fairmont became a subsidiary of AccorHotels in 2016, after the sale of FRHI to AccorHotels was completed."
182,Falconbridge Ltd.,"Falconbridge Limited was a Toronto, Ontario-based natural resources company with operations in 18 countries, involved in the exploration, mining, processing, and marketing of metal and mineral products, including nickel, copper, cobalt, and platinum. It was listed on the TSX (under the symbol FAL.LV) and NYSE (FAL), and had revenue of US$6.9 billion in 2005. In August 2006, it was absorbed by Swiss-based mining company Xstrata, which had formerly been a major shareholder.
Falconbridge, named after the town Falconbridge, which in turn was named for a prominent ""son"", one Sir William Glenholme Falconbridge, High Court Judge whose father John Kennedy Falconbridge, had migrated to Ontario from Lisburn Ireland.
Falconbridge was an important player in the economic and commercial development of the northern region of Ontario Canada, particularly the communities in and around Sudbury."
183,Farmers of North America,"Farmers of North America (""FNA""), incorporated as Farms and Families of North America Inc., has been characterized as a volume-buyer group, but that function is only one of its strategies for meeting its mission, ""Maximizing Farm Profitability.""
Recent examples unrelated to ""volume buying"" widely reported in agriculture media include:

addressing farm profitability ""by lowering transportation and transaction costs""
working to effect regulatory change that contributes to farm profitability
testifying before Parliament
working with the CWB, the new private grain company replacing the Canadian Wheat Board
creating programs to help farmers hire foreign temporary workers
organizing farmers to create an opportunity for an equity stake in the fertilizer industry
creating a unique international sales insurance program, ""MarketPower Assurance Program"" with AtradiusIncorporated in March 1998 by a rural Saskatchewan farm family, with the mission of maximizing farm profitability, the organization has now grown over 10,000 producers representing more than 20,000,000 acres (81,000 km2) across Canada. In October 2014, Farmers of North America expanded into the United States.**
The programs FNA negotiates with suppliers include fertilizers, animal health products, grain storage and handling equipment, fencing, agricultural leasing, oils and lubricants, and tires and management services.
The company is noted for bringing in the first import into the Port of Churchill from Russia, as a demonstration of the ability to cheaply import fertilizers to compete with domestic suppliers which they see as overpriced by predatory sellers.
Another example is the port of Wallaceburg, Ontario revived by FNA's suppliers to import competitive fertilizer for Eastern Canada.
FNA is not a cooperative. Nor is it a retailer, manufacturer or distributor. It is a privately owned for-profit company organized as a business alliance of individual farmers.  It describes itself as ""a farm business alliance with the mission of 'Maximizing Farm Profitability.'""
In 2012, FNA announced it has formed a limited partnership, FNA Fertilizer Limited Partnership or FNA FLP, with the intention of building a new nitrogen fertilizer plant in Western Canada. FNA FLP is an independent partnership composed of the farmers who fund it."
184,Federated Co-operatives,"Federated Co-operatives Limited (FCL), operating as Co-op, is a co-operative federation providing procurement and distribution to member co-operatives in Western Canada. It was established in 1944 after a series of amalgamations of smaller cooperatives, starting in Saskatchewan, including the Saskatchewan Co-operative Wholesale Society and a fuel production and distribution co-op, the Consumers’ Co-operative Refinery Limited. Federated had expanded to Manitoba, Alberta, and British Columbia by 1970. Federated Co-operatives is owned by about 160 member co-operatives across the region.  Some are large co-operatives, such as Saskatoon Co-op and Calgary Co-op, while others are small co-ops based in small towns, such as Abernethy Co-op.
In 2009, FCL was ranked as the largest co-operative in Canada by total sales. In 2010, FCL was the second largest company by annual sales in Saskatchewan. During that year, it earned revenues of 498 million and returned $355.7 million to its member retailers. In 2008 Federated Co-operatives saw sales increase and posted its 37th record year in a row for both sales and profits.

"
185,Federated Insurance Company of Canada,"Federated Insurance Company of Canada (""Federated Insurance"") is a direct writer of property and casualty insurance products headquartered in  Winnipeg, Manitoba, Canada. The Company has approximately 370 employees in nine offices across Canada, with approximately 150 in Winnipeg. Federated Insurance has an A. M. Best rating of ""A (Excellent)."""
